hhld_inc_binary,hhld_inc_num,q7,q11,q13,q56,lost_all_savings_q8,changed_employers_q12c,age_oldest
"$50,000+ per year",146000,None,Not employed at this time,NA,No,No,NA,65
"$50,000+ per year",228000,None,Employed full time,Do all of your work from home,Yes,No,No,49
"$50,000+ per year",106000,None,Not employed at this time,NA,No,No,NA,55
"<$50,000 per year",47000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,70
"<$50,000 per year",36000,None,Not employed at this time,NA,Yes,No,NA,32
"$50,000+ per year",127000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,38
"$50,000+ per year",177000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,58
"$50,000+ per year",222000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,80
"$50,000+ per year",214000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,19
"<$50,000 per year",5500,None,Not employed at this time,NA,Yes,No,NA,20
"$50,000+ per year",152000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,23
"$50,000+ per year",65000,None,Not employed at this time,NA,Yes,No,NA,68
"$50,000+ per year",68000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,38
"$50,000+ per year",240000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,42
"<$50,000 per year",45500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,42
"$50,000+ per year",108000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,41
"<$50,000 per year",11000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,55
"$50,000+ per year",200000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,52
"<$50,000 per year",31500,None,Not employed at this time,NA,No,No,NA,21
"<$50,000 per year",28500,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,62
"<$50,000 per year",15500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,64
"$50,000+ per year",102000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,64
"$50,000+ per year",115000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,46
"<$50,000 per year",37500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,25
"<$50,000 per year",49000,None,Not employed at this time,NA,No,No,NA,34
"<$50,000 per year",6000,One or more,Not employed at this time,NA,No,No,NA,32
"<$50,000 per year",47000,One or more,Not employed at this time,NA,No,No,NA,47
"$50,000+ per year",67000,None,Not employed at this time,NA,No,No,NA,42
"$50,000+ per year",125000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,65
